movie_id,occurrence_id,exact_word,surrounding_text,linguistic_context,timestamp,won_oscar
3,1,fuck,"Oh, fuck him. He never picks me.",insult,"00:07:25,400",False
3,2,fuck,"I did fuck him, and he never picks me either.",insult,"00:07:28,360",False
3,3,fucking,Some fucking father!,general_expletive,"00:10:17,800",False
3,4,fucking,Goddamn son-of-a-bitch pig-fucking bastards!,general_expletive,"00:12:38,560",False
3,5,fucking,Turn. That is some fucking music.,general_expletive,"00:29:23,680",False
3,6,fucking,"Goddamn son of a bitch, pig-fucking bastards!""",general_expletive,"01:42:27,920",False
6,7,Fuck,"Fuck you, Jarrett.",insult,"00:52:34,712",True
6,8,fuck,What? Tell me to fuck off!,insult,"00:54:13,440",True
6,9,fuck,"Well, fuck-- No. I can't do this.",exclamation_shock,"00:54:15,401",True
6,10,Fuck,"Fuck you, Berger. Fuck you! What?",insult,"00:54:30,958",True
6,11,Fuck,"Fuck you, Berger. Fuck you! What?",insult,"00:54:30,958",True
6,12,Fuck,Yeah? Fuck you!,insult,"00:54:32,960",True
6,13,fuck,and you go home and fuck the daylights out of her!,insult,"00:54:43,806",True
6,14,fuck,The only reason she gives a fuck about it,general_expletive,"01:06:08,903",True
7,15,fuck,"Jack, tell me, why the fuck do we have to come to Cleveland for you",insult,"00:04:19,190",False
7,16,fuckin,"Come on, do the fuckin' right thing.",general_expletive,"00:04:23,830",False
7,17,fuckin,Just like home... all over the fuckin' moolies.,general_expletive,"00:04:35,040",False
7,18,motherfucker,Knock the motherfucker out. You understand? Knock him out.,compound_expletive,"00:04:37,110",False
7,19,fuckin,Don't leave. Don't get outta the fuckin' ring. Stay here.,general_expletive,"00:06:44,670",False
7,20,fuckin,"...on his fuckin' back, they pick up his arm, he's dead.",general_expletive,"00:07:43,860",False
7,21,fuck,When the fuck you gonna stop with that stuff?,insult,"00:08:08,550",False
7,22,fuck,"If he's in a good mood, I'll talk to him. What the fuck you want me to do?",insult,"00:09:46,350",False
7,23,fuckin,- He's got me fuckin' nuts. - You're his brother.,insult,"00:09:55,820",False
7,24,Fuck,Fuck! I'm sick of you!,insult,"00:10:38,830",False
7,25,fuck,"Oh, fuck!",exclamation_shock,"00:11:25,880",False
7,26,fuckin,"you can't fuckin' eat and drink like an animal,",insult,"00:11:39,390",False
7,27,fuckin,put up with this fuckin' brasciole here.,general_expletive,"00:11:42,260",False
7,28,fuckin,"He's a fuckin' heavyweight, you're a middleweight.",insult,"00:12:56,670",False
7,29,Fuckin,Fuckin' nut.,general_expletive,"00:13:56,060",False
7,30,fuckin,"with everything you got. I want you to fuckin' lay me out, go ahead.",insult,"00:14:17,990",False
7,31,fuck,"- Harder. - That's hard, you fuck.",insult,"00:14:30,370",False
7,32,fuck,- Come on. - Don't fuck around.,general_expletive,"00:14:38,740",False
7,33,fuckin,"No, your fuckin' cuts are opening and everything.",exclamation_shock,"00:14:46,510",False
7,34,fucker,- I heard this fucker didn't win the fight. - Take it easy.,general_expletive,"00:15:48,710",False
7,35,fuck,What the fuck is wrong with you?! You gotta make a fuckin' jerk outta me.,insult,"00:16:32,820",False
7,36,fuckin,What the fuck is wrong with you?! You gotta make a fuckin' jerk outta me.,insult,"00:16:32,820",False
7,37,fuckin,I'm a jerk? You're a fuckin' asshole.,insult,"00:16:55,580",False
7,38,fuck,"What the fuck you hittin' me, huh?!",insult,"00:16:58,250",False
7,39,fuckin,"Yeah, yeah, ya fuckin' hard-on, try this.",general_expletive,"00:17:00,720",False
7,40,fuck,Ya fuck!,general_expletive,"00:17:12,090",False
7,41,fuck,"She's 15 years old, where the fuck's she gonna go?",general_expletive,"00:18:16,520",False
7,42,fuck,She ain't the kinda girl you just fuck and forget about.,insult,"00:18:34,210",False
7,43,fuck,You went with her? You didn't try to fuck her?,insult,"00:19:10,510",False
7,44,fuck,"I try to fuck anything, you know that.",insult,"00:19:12,980",False
7,45,fuck,"Hey, like the big man. Get the fuck outta here.",general_expletive,"00:19:51,520",False
7,46,fuck,"Keep lookin'. Where the fuck you goin'? You're dead, you're married.",insult,"00:20:18,280",False
7,47,Fuckin,"Fuckin' worm. You go out, I'm goin' out.",insult,"00:20:44,810",False
7,48,Fuckin,Fuckin' bunch of guineas.,general_expletive,"00:20:51,650",False
7,49,fuckin,Why don't you fuckin' stop? You're not goin' on business.,insult,"00:20:54,450",False
7,50,fuckin,"with that fuckin' dog, and this one up there.",general_expletive,"00:21:04,790",False
7,51,Fuckin,"Fuckin' Jew cunt, why don't you hit her in the head with a bat?",insult,"00:21:07,260",False
7,52,fuck,- What am I supposed to do? - Kill the fuck.,exclamation_shock,"00:21:12,900",False
7,53,fuckin,"You and your fuckin' ass... you, too ya... go out!",insult,"00:21:17,100",False
7,54,fuck,- What's the matter with you?! - What the fuck's the matter with you?,insult,"00:21:20,010",False
7,55,fuckin,"- What's the matter with you?! - I could give a shit, ya fuckin' queer!",insult,"00:21:24,210",False
7,56,motherfuckin,"Nothing. I got trouble with these two motherfuckin' greaseballs downstairs,",compound_expletive,"00:22:19,400",False
7,57,fuck,"Get the fuck out, you greaseball bastard!",insult,"00:23:55,060",False
7,58,fuckin,"Get outta here, ya fuckin' bum, ya!",general_expletive,"00:24:00,370",False
7,59,fuckin,Cocksuckers! I'd like to fuckin'...,general_expletive,"00:39:35,200",False
7,60,fuckin,They only gave him that fuckin' decision,insult,"00:39:45,350",False
7,61,fuckin,"the fuckin' ass, that's why!",general_expletive,"00:39:57,690",False
7,62,fuckin,Where'd I get it? Did I pull it out of the fuckin' air?,general_expletive,"00:44:18,950",False
7,63,fuckin,"- Not a bad kid, that Vickie, ya know. - She's with that fuckin' gorilla.",general_expletive,"00:51:28,980",False
7,64,fuckin,"I'm only kiddin' you, what a fuckin' kid.",insult,"00:53:21,090",False
7,65,fuckin,"- That's the best fuckin' fighter around. - Hey, Jake.",general_expletive,"00:53:23,930",False
7,66,fuck,"I don't know, I got a problem... if I should fuck him or fight him.",insult,"00:54:39,970",False
7,67,Fuck,Must be crazy. Fuck him or fight him.,insult,"00:54:44,840",False
7,68,fucked,"You're really liable to get fucked with this kid, watch out.",insult,"00:54:48,350",False
7,69,fuck,You mean you want me to get him to fuck you?,insult,"00:54:53,390",False
7,70,fuck,"- No, I don't want him to fuck me. - I could do that easily.",insult,"00:54:56,690",False
7,71,fuckin,"I'll get you both in the ring and give yous both a fuckin' beatin',",insult,"00:55:00,490",False
7,72,fuck,and you both could fuck each other.,insult,"00:55:02,800",False
7,73,Fuckin,Fuckin' hard-on.,general_expletive,"00:58:52,660",False
7,74,Fuckin,- You've gotta be kiddin'. - Fuckin' thing was hangin' off.,insult,"00:59:15,380",False
7,75,fuck,Who the fuck cares?,general_expletive,"00:59:43,610",False
7,76,fuckin,"You think you're right or somethin', the way you're fuckin' yellin'?",insult,"01:00:30,720",False
7,77,fuck,- What the fuck did you marry him for? - 'Cause I love him.,insult,"01:00:49,310",False
7,78,fuck,What am I supposed to do? This guy don't even wanna fuck me.,exclamation_shock,"01:00:52,950",False
7,79,fuckin,You won't have to go fuckin' runnin' around when he does.,insult,"01:01:01,990",False
7,80,fuckin,Mind your fuckin' business and shut up.,general_expletive,"01:01:23,440",False
7,81,Fuckin,- Fuckin' hard-on! - Get off! Get him off!,insult,"01:01:55,070",False
7,82,fuckin,"I'll bite your fuckin' head off, ya cocksucker!",insult,"01:01:58,340",False
7,83,fuck,"Get outta here, Joey! What the fuck are you doin'?!",insult,"01:02:01,610",False
7,84,Fuckin,Fuckin' cunt.,general_expletive,"01:02:11,260",False
7,85,fuckin,"Oh, scumbag! I'm gonna suck your fuckin' eyes out!",exclamation_shock,"01:02:15,530",False
7,86,fuckin,"Hey, you fuckin'... what are you, nuts?!",insult,"01:02:19,300",False
7,87,fuckin,He's wrong. No fuckin' trouble in the joint.,exclamation_shock,"01:02:28,710",False
7,88,fuckin,"I said get outta here, ya fuckin' mamone!",general_expletive,"01:02:36,650",False
7,89,fuck,"Get back there, ya fuck, ya!",general_expletive,"01:02:39,380",False
7,90,fucking,"What are you, fucking nuts? You're killin' me.",insult,"01:04:11,240",False
7,91,fuck,"he don't give a fuck, he's gonna do what he wants to do,",exclamation_shock,"01:05:44,070",False
7,92,fuckin,"Bust her fuckin' hole, throw her out.",insult,"01:07:21,470",False
7,93,fuck,"What the fuck you doin'? Hit me, ya fuckin' bum, come on.",insult,"01:10:10,670",False
7,94,fuckin,"What the fuck you doin'? Hit me, ya fuckin' bum, come on.",insult,"01:10:10,670",False
7,95,fuck,What the fuck's the matter with you?,insult,"01:10:29,050",False
7,96,fuckin,You fuckin' bum! You're takin' a dive in the fourth?,insult,"01:10:51,910",False
